name,players,description,startTime,endTime,bidWars
"Demon's Crest 100%","Z4T0X","","2020-08-18T13:01:00-04:00","2020-08-18T13:59:00-04:00","No"
"Castlevania Ii: Belmont's Revenge Any%","Tinnue","","2020-08-18T13:59:00-04:00","2020-08-18T14:40:00-04:00","No"
"Bloodstained: Curse Of The Moon Low%","Starwin","","2020-08-18T14:40:00-04:00","2020-08-18T15:35:00-04:00","No"
"Bloodstained: Ritual Of The Night Zangetsu Any% (Nmg)","The Blacktastic","","2020-08-18T15:35:00-04:00","2020-08-18T16:09:00-04:00","Yes"
"Jet Set Radio Any%","kitcarsonn","","2020-08-18T16:09:00-04:00","2020-08-18T16:55:00-04:00","No"
"Disney's Extreme Skate Adventure Any%","Helix","","2020-08-18T16:55:00-04:00","2020-08-18T17:29:00-04:00","Yes"
"Tony Hawk's Underground Any% Beginner","Biglaw","","2020-08-18T17:29:00-04:00","2020-08-18T18:22:00-04:00","Yes"
"Trackmania Nations Forever All Tracks (No E05)","Wirtual","","2020-08-18T18:22:00-04:00","2020-08-18T19:49:52-04:00","Yes"
"The Legend Of Zelda: Twilight Princess Hd Any%","gymnast86","","2020-08-18T19:49:52-04:00","2020-08-18T23:31:00-04:00","Yes"
"Bonus Game 2 - Mario Kart 8 Deluxe 48 Tracks Relay","Amber, Pianist15, jacob","","2020-08-18T23:31:00-04:00","2020-08-19T01:14:00-04:00","Yes"
"Splatoon Ng+","Kingj0444","","2020-08-19T01:14:00-04:00","2020-08-19T02:28:00-04:00","Yes"
"Ratchet & Clank: Up Your Arsenal Ng+ No Quit Exploit","Xem","","2020-08-19T02:28:00-04:00","2020-08-19T03:21:00-04:00","No"
"Deadcore No Major Glitches: Speedrun%","imawakka","","2020-08-19T03:21:00-04:00","2020-08-19T04:02:00-04:00","No"
"Darksiders Genesis Any%","Sunnymuffin","","2020-08-19T04:02:00-04:00","2020-08-19T05:08:00-04:00","No"
"Bioshock Infinite Any% (Hrh-Mod)","bloodthunder","","2020-08-19T05:08:00-04:00","2020-08-19T07:07:00-04:00","No"
"Gunman Clive Clive - Easy","FCRacer","","2020-08-19T07:07:00-04:00","2020-08-19T07:32:00-04:00","No"
"Dogurai Bones - Any%","FelinoAlbino","","2020-08-19T07:32:00-04:00","2020-08-19T08:10:00-04:00","No"
"Eat Girl Any%","touhoe","","2020-08-19T08:10:00-04:00","2020-08-19T08:31:00-04:00","No"
"Kemono Heroes Beat The Game (Hard Difficulty)","GreenZSaber","","2020-08-19T08:31:00-04:00","2020-08-19T09:13:00-04:00","Yes"
"Kousoku Kaitenzushi All Stages","Cisco147","","2020-08-19T09:13:00-04:00","2020-08-19T09:37:00-04:00","No"
"Metal Gear: Ghost Babel Very Hard","plywood","","2020-08-19T09:37:00-04:00","2020-08-19T11:04:00-04:00","No"
"Neon Boost Any%- Lights On, 1.2","kykystas","","2020-08-19T11:04:00-04:00","2020-08-19T11:32:00-04:00","No"
"One Step From Eden Neutral Selicy Seedless Normal","Risch","","2020-08-19T11:32:00-04:00","2020-08-19T12:04:00-04:00","Yes"
"Virtual Boy Wario Land 100%","swordsmankirby","","2020-08-19T12:04:00-04:00","2020-08-19T12:37:00-04:00","Yes"
"Mario & Luigi: Paper Jam Any%","GigaDB","","2020-08-19T12:37:00-04:00","2020-08-19T13:53:00-04:00","Yes"
"The Legend Of Zelda: Link's Awakening Warpless","mghtymth","","2020-08-19T13:53:00-04:00","2020-08-19T14:57:00-04:00","No"
"The Last Of Us Grounded Mode, Glitchless, New Game","AnthonyCaliber","","2020-08-19T14:57:00-04:00","2020-08-19T18:20:00-04:00","Yes"
"Freedom Planet Carol Any% (Classic Mode)","Revolucion","","2020-08-19T18:20:00-04:00","2020-08-19T19:28:00-04:00","No"
"Sonic The Hedgehog Beat The Game Glitchless","t0uchan","","2020-08-19T19:28:00-04:00","2020-08-19T20:04:00-04:00","No"
"Sonic The Hedgehog 2 Sonic - Beat The Game","Joeybaby69","","2020-08-19T20:04:00-04:00","2020-08-19T20:44:00-04:00","No"
"Sonic 3 & Knuckles All Emeralds (Sonic)","TheSoundDefense","","2020-08-19T20:44:00-04:00","2020-08-19T22:04:00-04:00","No"
"Sonic Heroes Team Sonic Vs Team Chaotix","CriticalCyd","","2020-08-19T22:04:00-04:00","2020-08-19T23:14:00-04:00","Yes"
"Bonus Game 3 - Resident Evil 3: Remake (2020) New Game Standard","MikeWave","","2020-08-19T23:14:00-04:00","2020-08-20T00:22:00-04:00","Yes"
"Devil May Cry 4: Special Edition Ng Nero/Dante Devil Hunter","Mekarazium","","2020-08-20T00:22:00-04:00","2020-08-20T02:17:00-04:00","Yes"
"Pacify 2 Player 100%","Metro72, YourAverageWhiteChick","","2020-08-20T02:17:00-04:00","2020-08-20T02:37:00-04:00","No"
"Night Trap Best Ending","Ecdycis","","2020-08-20T02:37:00-04:00","2020-08-20T03:24:00-04:00","Yes"
"Pringles: The Video Game All As","SecksWrecks","","2020-08-20T03:24:00-04:00","2020-08-20T03:39:00-04:00","No"
