seconds,utc_unixtimestamp,donation_id,donation_amount,cumulative_donation_amount
4944,1597582344,674686,100.00,7207.66
4962,1597582362,674687,25.00,7232.66
4975,1597582375,674688,10.00,7242.66
5003,1597582403,674689,10.00,7252.66
5031,1597582431,674690,5.00,7257.66
5032,1597582432,674691,5.00,7262.66
5050,1597582450,674692,20.00,7282.66
5082,1597582482,674693,11.11,7293.77
5087,1597582487,674694,25.00,7318.77
5102,1597582502,674695,5.00,7323.77
5111,1597582511,674696,100.00,7423.77
5132,1597582532,674697,25.00,7448.77
5141,1597582541,674698,5.00,7453.77
5165,1597582565,674700,5.00,7458.77
5244,1597582644,674701,30.00,7488.77
5257,1597582657,674702,5.00,7493.77
5391,1597582791,674703,60.00,7553.77
5422,1597582822,674705,25.00,7578.77
5503,1597582903,674707,100.00,7678.77
5607,1597583007,674708,10.00,7688.77
5618,1597583018,674710,30.00,7718.77
5631,1597583031,674711,100.00,7818.77
5635,1597583035,674712,25.00,7843.77
5677,1597583077,674713,25.00,7868.77
5744,1597583144,674714,5.00,7873.77
5831,1597583231,674717,10.00,7883.77
5842,1597583242,674718,50.00,7933.77
5857,1597583257,674719,25.00,7958.77
5866,1597583266,674720,50.00,8008.77
5926,1597583326,674723,10.00,8018.77
5949,1597583349,674724,10.00,8028.77
5978,1597583378,674725,5.00,8033.77
5989,1597583389,674726,50.00,8083.77
5998,1597583398,674727,5.00,8088.77
6056,1597583456,674728,10.00,8098.77
6082,1597583482,674729,50.00,8148.77
6082,1597583482,674730,50.00,8198.77
6089,1597583489,674731,50.00,8248.77
6121,1597583521,674733,5.00,8253.77
6129,1597583529,674734,20.00,8273.77
6131,1597583531,674735,5.00,8278.77
6149,1597583549,674736,500.00,8778.77
6155,1597583555,674737,50.00,8828.77
6184,1597583584,674738,10.00,8838.77
6196,1597583596,674739,50.00,8888.77
6196,1597583596,674740,25.00,8913.77
6227,1597583627,674741,30.00,8943.77
6245,1597583645,674742,50.00,8993.77
6249,1597583649,674743,30.00,9023.77
6268,1597583668,674744,25.00,9048.77
6278,1597583678,674746,20.00,9068.77
6285,1597583685,674747,10.00,9078.77
6296,1597583696,674748,10.00,9088.77
6306,1597583706,674749,10.00,9098.77
6312,1597583712,674750,10.00,9108.77
6333,1597583733,674751,50.00,9158.77
6341,1597583741,674752,200.00,9358.77
6345,1597583745,674753,50.00,9408.77
6398,1597583798,674754,10.00,9418.77
6428,1597583828,674755,15.00,9433.77
6475,1597583875,674756,15.00,9448.77
6485,1597583885,674757,25.00,9473.77
6490,1597583890,674758,10.00,9483.77
6539,1597583939,674759,50.00,9533.77
6570,1597583970,674760,20.00,9553.77
6585,1597583985,674761,25.00,9578.77
6663,1597584063,674762,5.00,9583.77
6668,1597584068,674763,5.00,9588.77
6679,1597584079,674764,5.00,9593.77
6683,1597584083,674765,100.00,9693.77
6697,1597584097,674766,25.00,9718.77
6749,1597584149,674767,50.00,9768.77
6751,1597584151,674768,30.00,9798.77
6786,1597584186,674769,20.00,9818.77
6790,1597584190,674770,25.00,9843.77
6817,1597584217,674771,5.00,9848.77
