seconds,utc_unixtimestamp,donation_id,donation_amount,cumulative_donation_amount
-128523,1561164477,536131,5.00,5.00
-22777,1561270223,536134,5.00,10.00
-3928,1561289072,536137,5.00,15.00
-3614,1561289386,536138,30.00,45.00
-3421,1561289579,536139,25.00,70.00
-3308,1561289692,536140,10.00,80.00
-3091,1561289909,536142,5.00,85.00
-2951,1561290049,536144,5.00,90.00
-2894,1561290106,536146,5.00,95.00
-2333,1561290667,536148,20.00,115.00
-2197,1561290803,536149,5.00,120.00
-1882,1561291118,536150,10.00,130.00
-1335,1561291665,536152,50.00,180.00
-1049,1561291951,536153,25.84,205.84
-879,1561292121,536154,25.00,230.84
-615,1561292385,536155,75.00,305.84
-151,1561292849,536157,10.00,315.84
40,1561293040,536158,5.00,320.84
41,1561293041,536159,5.00,325.84
82,1561293082,536161,25.00,350.84
145,1561293145,536162,5.00,355.84
197,1561293197,536163,15.00,370.84
216,1561293216,536164,10.00,380.84
250,1561293250,536165,100.00,480.84
282,1561293282,536167,50.00,530.84
296,1561293296,536168,25.00,555.84
338,1561293338,536170,5.00,560.84
366,1561293366,536172,10.00,570.84
405,1561293405,536175,100.00,670.84
410,1561293410,536176,30.00,700.84
431,1561293431,536177,50.00,750.84
444,1561293444,536178,10.00,760.84
452,1561293452,536179,10.00,770.84
459,1561293459,536180,50.00,820.84
460,1561293460,536181,5.01,825.85
486,1561293486,536183,50.00,875.85
490,1561293490,536184,50.00,925.85
498,1561293498,536185,25.00,950.85
526,1561293526,536188,5.00,955.85
527,1561293527,536189,10.00,965.85
542,1561293542,536190,50.00,1015.85
560,1561293560,536194,100.00,1115.85
566,1561293566,536195,25.00,1140.85
567,1561293567,536196,25.00,1165.85
574,1561293574,536197,25.00,1190.85
577,1561293577,536198,5.00,1195.85
582,1561293582,536199,10.00,1205.85
583,1561293583,536200,15.00,1220.85
600,1561293600,536201,15.00,1235.85
603,1561293603,536202,100.00,1335.85
603,1561293603,536203,50.00,1385.85
611,1561293611,536204,100.00,1485.85
617,1561293617,536205,25.00,1510.85
623,1561293623,536206,25.00,1535.85
626,1561293626,536207,25.00,1560.85
637,1561293637,536208,250.00,1810.85
644,1561293644,536209,50.00,1860.85
645,1561293645,536210,10.00,1870.85
669,1561293669,536211,25.00,1895.85
671,1561293671,536213,20.00,1915.85
680,1561293680,536214,50.00,1965.85
697,1561293697,536215,10.00,1975.85
729,1561293729,536216,7.00,1982.85
764,1561293764,536218,30.00,2012.85
796,1561293796,536219,25.00,2037.85
799,1561293799,536220,25.00,2062.85
819,1561293819,536221,25.00,2087.85
833,1561293833,536222,30.00,2117.85
843,1561293843,536223,250.00,2367.85
843,1561293843,536224,100.00,2467.85
865,1561293865,536225,30.00,2497.85
869,1561293869,536226,15.00,2512.85
883,1561293883,536227,25.00,2537.85
895,1561293895,536228,25.00,2562.85
907,1561293907,536229,54.89,2617.74
910,1561293910,536230,25.00,2642.74
925,1561293925,536231,100.00,2742.74
946,1561293946,536232,20.00,2762.74
957,1561293957,536233,100.00,2862.74
1002,1561294002,536235,20.00,2882.74
1042,1561294042,536236,15.00,2897.74
1105,1561294105,536237,25.00,2922.74
1112,1561294112,536238,50.00,2972.74
1113,1561294113,536239,30.00,3002.74
1144,1561294144,536240,25.00,3027.74
1174,1561294174,536241,30.00,3057.74
1181,1561294181,536242,5.00,3062.74
1190,1561294190,536244,20.00,3082.74
1196,1561294196,536246,25.00,3107.74
