seconds,utc_unixtimestamp,donation_id,donation_amount,cumulative_donation_amount
-240894,1577982906,602170,5.00,5.00
-17101,1578206699,602171,25.00,30.00
-6437,1578217363,602172,5.00,35.00
-5615,1578218185,602173,10.00,45.00
-5387,1578218413,602175,25.00,70.00
-2509,1578221291,602183,5.00,75.00
-1517,1578222283,602189,25.00,100.00
-1467,1578222333,602190,25.00,125.00
-1338,1578222462,602191,10.00,135.00
-793,1578223007,602194,25.00,160.00
-322,1578223478,602196,25.00,185.00
-288,1578223512,602198,50.00,235.00
-277,1578223523,602199,50.00,285.00
-15,1578223785,602202,5.00,290.00
-1,1578223799,602203,5.00,295.00
65,1578223865,602204,5.00,300.00
160,1578223960,602206,25.00,325.00
181,1578223981,602208,50.00,375.00
183,1578223983,602209,25.00,400.00
210,1578224010,602211,5.00,405.00
217,1578224017,602212,10.00,415.00
219,1578224019,602213,10.00,425.00
230,1578224030,602214,20.00,445.00
231,1578224031,602215,5.00,450.00
232,1578224032,602216,5.00,455.00
241,1578224041,602221,50.00,505.00
242,1578224042,602222,25.00,530.00
242,1578224042,602223,50.00,580.00
243,1578224043,602224,50.00,630.00
245,1578224045,602226,5.00,635.00
245,1578224045,602227,5.00,640.00
247,1578224047,602228,15.00,655.00
248,1578224048,602229,5.00,660.00
248,1578224048,602230,500.00,1160.00
250,1578224050,602232,10.00,1170.00
250,1578224050,602233,10.00,1180.00
252,1578224052,602236,5.00,1185.00
253,1578224053,602237,5.00,1190.00
253,1578224053,602238,5.00,1195.00
253,1578224053,602239,5.00,1200.00
254,1578224054,602240,5.00,1205.00
254,1578224054,602241,5.00,1210.00
255,1578224055,602243,10.00,1220.00
257,1578224057,602244,25.00,1245.00
257,1578224057,602245,5.00,1250.00
258,1578224058,602246,50.00,1300.00
258,1578224058,602247,10.00,1310.00
258,1578224058,602248,100.00,1410.00
258,1578224058,602249,20.00,1430.00
260,1578224060,602252,50.00,1480.00
260,1578224060,602254,25.00,1505.00
260,1578224060,602255,50.00,1555.00
261,1578224061,602256,5.00,1560.00
262,1578224062,602257,25.00,1585.00
262,1578224062,602258,25.00,1610.00
263,1578224063,602259,20.00,1630.00
263,1578224063,602260,25.00,1655.00
263,1578224063,602261,10.64,1665.64
263,1578224063,602262,100.00,1765.64
263,1578224063,602263,10.00,1775.64
264,1578224064,602264,50.00,1825.64
264,1578224064,602265,25.00,1850.64
265,1578224065,602267,10.00,1860.64
265,1578224065,602268,500.00,2360.64
265,1578224065,602269,50.00,2410.64
266,1578224066,602270,50.00,2460.64
266,1578224066,602271,15.00,2475.64
266,1578224066,602272,50.00,2525.64
266,1578224066,602274,5.64,2531.28
266,1578224066,602275,25.00,2556.28
267,1578224067,602277,14.32,2570.60
268,1578224068,602278,25.00,2595.60
268,1578224068,602279,50.00,2645.60
269,1578224069,602280,10.00,2655.60
269,1578224069,602281,10.00,2665.60
270,1578224070,602282,5.00,2670.60
271,1578224071,602284,100.00,2770.60
271,1578224071,602285,25.00,2795.60
271,1578224071,602286,100.00,2895.60
272,1578224072,602287,5.00,2900.60
272,1578224072,602288,10.00,2910.60
272,1578224072,602289,10.00,2920.60
273,1578224073,602290,10.00,2930.60
273,1578224073,602291,5.00,2935.60
274,1578224074,602292,5.00,2940.60
275,1578224075,602293,10.00,2950.60
276,1578224076,602294,10.00,2960.60
277,1578224077,602295,5.00,2965.60
279,1578224079,602297,5.00,2970.60
280,1578224080,602299,30.00,3000.60
280,1578224080,602300,5.00,3005.60
280,1578224080,602301,20.00,3025.60
280,1578224080,602302,10.00,3035.60
281,1578224081,602303,5.00,3040.60
281,1578224081,602304,5.00,3045.60
282,1578224082,602305,10.00,3055.60
282,1578224082,602306,10.00,3065.60
283,1578224083,602307,10.00,3075.60
283,1578224083,602308,5.64,3081.24
284,1578224084,602309,25.00,3106.24
284,1578224084,602310,25.00,3131.24
284,1578224084,602311,25.00,3156.24
285,1578224085,602312,25.00,3181.24
285,1578224085,602313,10.64,3191.88
285,1578224085,602314,10.64,3202.52
285,1578224085,602315,10.00,3212.52
286,1578224086,602316,5.00,3217.52
287,1578224087,602317,5.00,3222.52
287,1578224087,602318,25.00,3247.52
287,1578224087,602319,5.00,3252.52
289,1578224089,602320,50.00,3302.52
289,1578224089,602321,10.00,3312.52
290,1578224090,602322,5.00,3317.52
290,1578224090,602323,25.00,3342.52
291,1578224091,602324,5.00,3347.52
293,1578224093,602325,100.00,3447.52
293,1578224093,602326,75.00,3522.52
293,1578224093,602327,50.00,3572.52
294,1578224094,602328,10.00,3582.52
294,1578224094,602329,1000.00,4582.52
294,1578224094,602330,50.00,4632.52
294,1578224094,602331,15.00,4647.52
296,1578224096,602332,10.00,4657.52
296,1578224096,602333,10.00,4667.52
297,1578224097,602334,10.00,4677.52
297,1578224097,602335,20.00,4697.52
298,1578224098,602336,20.00,4717.52
298,1578224098,602337,10.00,4727.52
299,1578224099,602338,20.00,4747.52
299,1578224099,602339,20.00,4767.52
301,1578224101,602341,100.00,4867.52
301,1578224101,602342,5.00,4872.52
301,1578224101,602343,10.00,4882.52
301,1578224101,602344,50.00,4932.52
302,1578224102,602345,25.00,4957.52
302,1578224102,602346,50.00,5007.52
