utc_unixtimestamp,donation_id,donation_amount
1357468027,6147,10.00
1357417291,6145,10.00
1357389391,6144,0.43
1357388559,6142,0.77
1357385563,6143,0.23
1357061488,6141,40.00
1326219168,14079,5.00
1326182876,13079,40.00
1358933285,22649,2000.00
1358569620,22146,30.00
1358534076,22145,1.30
1358321596,22120,50.00
1358321187,22648,3.00
1358321148,22119,15.00
1358320896,22118,5.00
1358307515,22117,5.00
1358307432,22116,25.00
1358301379,22115,5.00
1358300622,22114,10.00
1358299536,22112,10.00
1358295521,22111,12.00
1358292474,22110,35.00
1358291064,22109,10.00
1358284793,22108,15.00
1358284421,22107,20.00
1358284134,22106,25.00
1358282777,22105,16.00
1358282219,22104,10.00
1358280818,22103,5.00
1358280400,22102,10.00
1358279743,22101,20.00
1358279639,22100,8.95
1358277996,22099,5.00
1358277602,22098,20.00
1358276974,22097,10.00
1358276409,22096,5.00
1358275619,22095,10.00
1358274531,22094,1.00
1358274061,22093,10.00
1358271930,22092,10.00
1358271616,22091,1.00
1358271473,22090,10.00
1358271098,22089,20.00
1358266287,22088,15.00
1358265808,22087,6.00
1358265109,22086,1.00
1358264728,22085,10.00
1358264703,22084,5.00
1358264667,22083,10.00
1358264661,22082,10.00
1358264235,22081,5.00
1358264229,22080,10.00
1358264166,22079,5.00
1358264051,22078,25.00
1358264023,22077,25.00
1358263994,22076,5.00
1358263915,22075,1.00
1358263854,22074,5.00
1358263743,22073,10.00
1358263739,22072,10.00
1358263718,22071,5.00
1358262883,22070,24.00
1358262814,22069,13.37
1358262795,22068,44.44
1358262722,22067,1.50
1358261418,22066,10.00
1358260962,22065,100.00
1358258983,22064,40.00
1358258359,22063,5.00
1358250829,22062,10.00
1358242679,22055,20.00
1358242320,22054,5.00
1358242309,22053,5.00
1358224038,22052,1.00
1358223062,22051,25.00
1358221929,22050,10.00
1358217586,22049,20.00
1358213797,22048,5.00
1358212739,22047,0.95
1358211591,22046,10.00
1358207463,22045,10.00
1358207106,22044,15.00
1358202946,22043,10.00
1358202517,22042,5.02
1358200421,22041,15.00
1358198570,22040,40.00
1358196876,22034,5.00
1358193403,22033,75.00
1358186986,22026,2.00
1358186033,22025,10.00
1358185401,22024,5.00
1358184489,22023,2.00
1358184260,22022,5.00
1358184052,22021,75.00
1358183178,22020,10.00
1358180742,22019,35.00
1358176860,22018,12.00
1358175148,22017,200.00
1358175003,22016,20.00
1358174997,22015,5.00
1358166678,22014,5.00
1358166221,22013,5.00
1358165557,22012,15.00
1358165454,22011,15.00
1358164478,22010,7.88
1358159776,22008,2.50
1358159075,22007,10.00
1358158950,22006,10.00
1358158520,22005,10.00
1358158437,22004,15.00
1358158424,22039,5.00
1358158413,22003,2.50
1358158111,22002,30.00
1358158033,22001,3.00
1358157756,22000,1.00
1358157409,21999,1.00
1358157178,21998,2.00
1358156896,21997,5.00
1358156235,21996,2.00
1358156160,21995,6.27
1358156043,21993,1.00
1358156042,21994,15.00
1358156023,21992,5.00
1358155965,21991,7.77
1358155907,21990,20.00
1358155645,21989,5.00
1358155565,21988,10.00
1358155525,21987,30.00
1358155523,21986,5.00
1358155505,21985,10.00
1358155448,21984,5.00
1358155241,21983,15.00
1358155203,21982,3.00
1358155193,21981,105.00
1358155023,21980,15.00
1358154681,21979,15.00
1358154579,21978,20.00
1358154436,21977,15.00
1358154116,21976,20.00
1358153796,21975,10.00
1358153366,21974,30.00
1358153130,21973,100.00
1358153021,22038,0.47
1358152860,21972,20.00
1358152766,21971,10.00
1358152697,21970,15.00
1358152528,21969,1.00
1358152258,21968,5.00
1358150397,22037,10.00
1358149402,21967,20.00
1358148936,21966,20.00
1358146243,21965,3.50
1358145951,21964,3.00
1358145889,21963,45.02
1358145581,21962,1.00
1358144672,21961,3.00
1358144622,21960,2.00
1358144546,21959,5.00
1358144479,21958,100.00
1358144010,22511,3.25
1358143978,21957,5.00
1358143977,22512,2.00
1358143939,21956,30.00
1358143894,21955,1.00
1358143722,21954,5.00
1358143620,21953,10.00
1358143612,21952,15.02
1358143211,21951,10.00
1358143207,22035,10.00
1358143096,21950,20.00
1358143014,21949,1.00
1358142972,21948,20.00
1358142787,21947,2.00
1358142689,22009,60.00
1358142080,21946,5.00
1358142000,21945,5.00
1358141980,21944,1.25
1358141907,21943,1.00
1358141866,21942,10.00
1358141763,21941,1.00
1358141749,21939,5.02
1358141749,21940,5.00
1358141725,21938,1.50
1358141567,21937,5.00
1358141296,21936,10.00
1358141057,21935,5.00
1358141005,21934,5.00
1358140765,21933,5.00
1358140525,21932,50.00
1358140497,21931,25.00
1358140395,21930,5.00
1358140392,21929,7.00
1358139845,21928,4.00
1358139798,21927,10.00
1358139590,21926,5.00
1358138732,21925,50.00
1358138563,21924,5.02
1358138350,21923,5.00
1358138343,21922,10.00
1358138298,21921,5.00
1358138175,21920,20.00
1358138137,21919,5.00
1358137767,21918,25.00
1358137750,21917,10.00
1358137739,21916,50.00
1358137718,21915,2.00
1358137656,21914,5.00
1358137604,21913,5.00
1358137440,21912,10.00
1358137432,21911,2.00
1358137425,21910,5.00
1358137355,21909,5.00
1358137171,21908,5.00
1358137044,21907,5.00
1358137003,21906,10.00
1358136959,21905,20.00
1358136952,21904,5.00
1358136928,21903,15.00
1358136801,21902,1.00
1358136634,21901,10.00
1358136461,21900,5.00
1358136451,21899,5.00
1358136310,21898,25.00
1358136297,21897,25.00
1358136217,21896,10.00
1358136141,21895,100.00
1358135987,21894,5.00
1358135928,21893,5.00
1358135830,21892,1.00
1358135823,21891,35.00
1358135757,21890,50.00
1358135753,21889,10.00
1358135744,21888,20.00
1358135738,21887,2.00
1358135730,21886,3.00
1358135569,21885,25.00
1358135554,21884,50.02
1358135479,21883,10.00
1358135450,21882,20.00
1358135377,21881,5.28
1358135363,21880,1.00
1358135333,21879,10.00
1358135286,21878,2.00
1358135223,21877,5.00
1358135116,21876,5.00
1358135081,21875,1.00
1358135014,21874,5.02
1358134962,21873,25.00
1358134923,21872,7.00
1358134902,21871,10.00
1358134795,21870,3.00
1358134766,21869,5.00
1358134749,21868,2.95
1358134608,21867,20.00
1358134445,21866,2.00
1358134430,21865,25.00
1358134430,21864,20.00
1358134369,21863,1.00
1358134358,21862,5.00
1358134323,21861,50.00
1358134307,21860,2.00
1358134297,21859,5.00
1358134286,21858,5.02
1358134281,21857,35.00
1358134181,21856,10.00
1358134169,21855,10.00
1358134113,21854,5.02
1358134111,21853,1.39
1358134010,21852,200.00
1358133968,21851,5.00
1358133962,21850,10.00
1358133925,21849,15.02
1358133925,21848,25.00
1358133716,21847,10.00
1358133641,21846,1.00
1358133594,21845,5.00
1358133568,21844,13.37
1358133568,21843,30.00
1358133565,22513,5.02
1358133546,21842,10.00
1358133541,21841,20.00
1358133527,21840,10.00
1358133490,21839,5.00
1358133390,21838,20.00
1358133367,21837,20.00
1358133354,21836,1.00
1358133329,21835,5.00
1358133311,21834,5.00
1358133288,21833,10.00
1358133224,21832,5.00
1358133134,21831,25.00
1358133123,21830,5.00
1358133111,21829,10.00
1358133093,21828,1.00
1358133068,21827,5.00
1358133032,21826,10.00
1358133010,21825,10.00
1358132974,21824,10.00
1358132888,21823,4.94
1358132726,21822,2.00
1358132664,21821,5.00
1358132662,21820,1.00
1358132639,21819,20.00
1358132619,21818,30.65
1358132480,21817,2.82
1358132464,21816,100.00
1358132385,21815,10.00
1358132340,21814,10.00
1358132333,21813,10.00
1358132298,21812,5.00
1358132252,21811,0.63
1358132252,21810,2.00
1358132250,21809,10.00
1358132224,21808,5.02
1358131597,21807,16.69
1358131444,21806,10.00
1358130587,21805,1.00
1358128060,21804,40.00
1358126952,21803,25.00
1358125455,21802,20.00
1358123959,21801,20.00
1358122205,21800,25.00
1358118526,21799,10.00
1358115323,21798,20.01
1358111197,21797,100.00
1358108000,21796,50.00
1358107524,21795,50.00
1358107491,21794,5.00
1358106183,21793,10.00
1358103068,21790,50.00
1358101870,21789,10.00
