utc_unixtimestamp,donation_id,donation_amount
1312468001,110227,5.00
1312467943,110228,10.00
1312467798,110229,5.00
1312467509,110230,5.00
1312467508,110231,5.00
1312467400,110232,10.00
1312467296,110233,100.00
1312467188,110234,10.00
1312467162,110235,10.00
1312467031,110236,5.00
1312466922,110237,25.00
1312466565,110238,300.00
1312466448,110239,10.00
1312465857,110240,20.00
1312458064,110241,1.00
1312457114,110242,6.00
1312405746,110243,5.00
1312200862,110244,1.00
1313284716,109127,5.00
1313249205,109128,5.30
1313243842,109129,10.00
1313204754,109130,20.00
1313204083,109131,100.00
1313202843,109132,20.00
1313095456,109133,20.00
1313024087,109134,1.00
1312985642,109135,10.00
1312772526,109136,10.00
1312763721,109137,5.00
1312684531,109138,15.00
1312684371,109139,1.00
1312684280,109140,1.00
1312684155,109141,5.00
1312684036,109142,10.00
1312683982,109143,20.00
1312683812,109144,5.00
1312683581,109145,7.50
1312683092,109146,10.00
1312682811,109147,10.00
1312682167,109148,100.00
1312681802,109149,40.00
1312680583,109150,7.51
1312680312,109151,15.00
1312680289,109152,12.00
1312680223,109153,10.00
1312680153,109154,5.00
1312680051,109155,15.00
1312679439,109156,10.00
1312679134,109157,25.36
1312678486,109158,15.00
1312678325,109159,100.00
1312678288,109160,40.00
1312678277,109161,10.01
1312678264,109162,20.00
1312676770,109163,25.00
1312676105,109164,15.00
1312675455,109165,10.00
1312675027,109166,15.00
1312674744,109167,5.00
1312674721,109168,5.00
1312674703,109169,208.00
1312674692,109170,10.00
1312674689,109171,50.00
1312674383,109172,137.00
1312673712,109173,1.00
1312673164,109174,5.00
1312673145,109175,15.00
1312672786,109176,15.00
1312672573,109177,15.00
1312672315,109178,30.00
1312671951,109179,15.00
1312671778,109180,5.00
1312671691,109181,15.00
1312671672,109182,20.00
1312671620,109183,50.00
1312671459,109184,15.00
1312671426,109186,15.00
1312671426,109185,1.00
1312671359,109187,20.00
1312671223,109188,10.00
1312671010,109189,10.00
1312670843,109190,15.00
1312670475,109191,10.00
1312670420,109192,15.00
1312670241,109193,10.00
1312669994,109194,50.00
1312669634,109195,2.00
1312669615,109196,10.00
1312669084,109197,10.00
1312668874,109198,10.00
1312668665,109199,0.01
1312668444,109200,10.00
1312668201,109201,10.00
1312668186,109202,0.01
1312667967,109203,0.66
1312667626,109204,15.00
1312667582,109205,10.00
1312667381,109206,10.00
1312666203,109207,10.35
1312665993,109208,20.00
1312665560,109209,10.00
1312665525,109210,10.00
1312664817,109211,5.00
1312664588,109212,10.00
1312664566,109213,10.00
1312663966,109214,10.00
1312663240,109215,5.00
1312663031,109216,10.00
1312662636,109217,10.00
1312662627,109218,20.00
1312662568,109219,15.00
1312662306,109220,5.00
1312661931,109221,10.00
1312661895,109222,5.00
1312661797,109223,5.00
1312661792,109224,10.00
1312661190,109225,5.02
1312661171,109226,20.00
