utc_unixtimestamp,donation_id,donation_amount
1500739955,379514,50.00
1500439038,379512,10.00
1499866085,379509,25.00
1499864767,379508,15.00
1499813017,379505,20.00
1499806374,379504,25.00
1499791578,379503,50.00
1499785565,379502,25.00
1499743825,379501,100.00
1499729320,379500,50.00
1499696207,379496,15.00
1499692627,379494,9.99
1499684934,379492,20.00
1499684554,379491,10.00
1499677128,379489,50.00
1499675407,379488,100.00
1499664279,379487,75.00
1499663657,379486,5.00
1499658453,379485,60.00
1499652154,379482,25.00
1499651630,379481,2820.00
1499645746,379480,20.00
1499635368,379476,50.00
1499632763,379475,1770.00
1499631500,379474,5.00
1499631162,379472,20.00
1499620638,379467,10.00
1499619161,379466,10.00
1499617103,379465,10.00
1499616866,379464,55.00
1499616277,379462,10.00
1499612836,379460,25.00
1499611708,379458,50.00
1499611124,379457,15000.00
1499609700,379456,100.00
1499608471,379455,50.00
1499608437,379454,10.00
1499604954,379452,50.00
1499603381,379451,25.00
1499602620,379450,15.00
1499600366,379449,5.00
1499600252,379448,5.00
1499598366,379446,10.00
1499597842,379445,25.00
1499597382,379444,100.00
1499597231,379443,10.00
1499596819,379442,10.00
1499596270,379441,12.90
1499595954,379440,10.00
1499594320,379437,15.00
1499593611,379436,5.00
1499592279,379433,10.00
1499591223,379432,150.00
1499590144,379430,20.00
1499587925,379428,5.00
1499587793,379426,25.00
1499587466,379425,5.00
1499587419,379424,5.00
1499585409,379423,50.00
1499580641,379418,20.00
1499579169,379416,20.00
1499579161,379415,15.00
1499579094,379413,5.00
1499579089,379412,18.00
1499579072,379411,15.00
1499579066,379410,5.00
1499579065,379409,20.00
1499579057,379407,50.00
1499579056,379406,20.00
1499579045,379405,20.00
1499579033,379404,20.00
1499579003,379401,5.00
1499578987,379400,50.00
1499578985,379399,50.00
1499578985,379398,50.00
1499578982,379397,5.00
1499578974,379396,25.00
1499578931,379394,150.00
1499578926,379393,50.00
1499578913,379392,30.00
1499578911,379391,50.00
1499578900,379389,5.00
1499578898,379387,20.00
1499578890,379386,5.00
1499578870,379385,150.00
1499578813,379383,10.00
1499578808,379382,5.00
1499578806,379381,10.00
1499578754,379380,20.00
1499578741,379379,5.00
1499578719,379378,15.00
1499578676,379376,20.00
1499578653,379375,10.00
1499578598,379374,50.00
1499578438,379371,50.00
1499578396,379370,10.00
1499578374,379369,150.00
1499578312,379368,20.00
1499578300,379367,25.00
1499578298,379366,10.00
1499578217,379364,10.00
1499578178,379363,50.00
1499578175,379362,25.00
1499578161,379361,50.00
1499578158,379360,5.00
1499578156,379359,20.00
1499578147,379358,10.00
1499578143,379357,10.00
1499578137,379356,25.00
1499578076,379355,55.00
1499578068,379354,200.00
1499578065,379353,50.00
1499578035,379352,10.00
1499578022,379351,50.00
1499578013,379350,5.00
1499578011,379349,50.00
1499577950,379348,50.00
1499577947,379347,25.00
1499577914,379345,150.00
1499577870,379344,15.00
1499577863,379343,10.00
1499577845,379342,25.00
1499577811,379341,10.00
1499577792,379340,5.01
1499577750,379339,150.00
1499577675,379338,15.00
1499577654,379337,60.00
1499577652,379336,50.00
1499577636,379335,5.00
1499577620,379334,50.00
1499577610,379333,25.00
1499577601,379332,15.00
1499577585,379331,15.00
1499577548,379330,10.00
1499577524,379329,25.00
1499577491,379328,25.00
1499577485,379327,10.00
1499577425,379324,5.00
1499577422,379323,25.00
1499577403,379322,50.00
1499577392,379321,5.00
1499577379,379320,20.00
1499577344,379319,10.00
1499577342,379318,5.00
1499577328,379316,200.00
1499577294,379315,15.00
1499577271,379314,10.00
1499577265,379313,100.00
1499577162,379312,100.00
1499577128,379311,20.00
1499577103,379310,25.00
1499577096,379309,15.00
1499577085,379307,50.00
1499577082,379306,5.00
1499577078,379305,50.00
1499577022,379304,150.00
1499577004,379301,5.00
1499576998,379300,10.00
1499576995,379299,50.00
1499576980,379298,200.00
1499576973,379297,50.00
1499576960,379296,150.00
1499576952,379295,10.00
1499576950,379294,50.00
1499576940,379292,50.00
1499576928,379291,5.00
1499576924,379290,5.00
1499576900,379289,55.00
1499576873,379288,10.00
1499576852,379286,50.00
1499576818,379285,10.00
1499576804,379284,200.00
1499576785,379283,50.00
1499576755,379282,50.00
1499576739,379281,500.00
1499576734,379280,5.00
1499576731,379279,50.00
1499576696,379278,25.00
1499576693,379277,20.00
1499576686,379276,100.00
1499576685,379275,25.00
1499576679,379274,5.00
1499576672,379273,10.00
1499576657,379272,25.00
1499576628,379270,50.00
1499576624,379269,5.00
1499576615,379267,10.00
1499576605,379265,50.00
1499576581,379264,185.00
1499576570,379262,5.00
1499576559,379261,5.00
1499576555,379260,20.00
1499576516,379257,20.00
1499576513,379256,30.00
1499576499,379255,25.00
1499576493,379254,25.00
1499576471,379252,5.00
1499576448,379251,50.00
1499576448,379250,200.00
1499576438,379249,5.00
