utc_unixtimestamp,donation_id,donation_amount
1388705475,38225,1000.00
1388093789,38180,20.00
1395675962,75422,5.00
1394011670,75416,25.00
1391955906,75406,15.00
1391831692,75403,6.00
1391513364,75400,5.00
1390776412,75390,20.00
1390677683,75389,5.00
1390548923,75388,40.00
1390457849,75387,30.00
1390357451,75386,724.00
1390331546,75382,25.00
1390233188,75381,10.00
1390152700,75380,30.00
1390067239,75378,2.66
1389953754,75377,10.00
1389891893,75372,16.34
1389886599,75371,10.00
1389883841,75370,3.38
1389881129,75369,10.00
1389880044,75368,20.00
1389877661,75367,50.00
1389872313,75366,100.00
1389826313,75358,25.00
1389809886,75351,25.00
1389779604,75350,5.00
1389777974,75349,25.00
1389777949,75347,20.00
1389777852,75346,20.00
1389777798,75343,20.00
1389777787,75342,1.00
1389777781,75341,20.00
1389777673,75338,100.00
1389777648,75337,10.00
1389777647,75336,50.00
1389777600,75335,5.00
1389777536,75333,100.00
1389777440,75332,15.00
1389777406,75331,1.00
1389777386,75330,30.00
1389777045,75328,5.00
1389777013,75327,10.00
1389776790,75324,35.00
1389776751,75323,20.00
1389776651,75322,5.00
1389776625,75320,10.00
1389776612,75319,2.00
1389776570,75316,1.00
1389776567,75315,120.00
1389776527,75313,10.00
1389773938,75311,5.00
1389773787,75310,5.00
1389771785,75309,15.00
1389770988,75308,100.00
1389767767,75306,5.00
1389762037,75300,5.00
1389759909,75299,30.00
1389759493,75298,5.00
1389758936,75297,5.00
1389757991,75294,10.00
1389757787,75293,5.00
1389757751,75292,10.00
1389757691,75291,20.00
1389756942,75289,5.00
1389756187,75285,25.00
1389756152,75284,20.00
1389755961,75283,5.00
1389755507,75282,2.50
1389751166,75281,10.00
1389748457,75280,5.00
1389747159,75279,5.00
1389746621,75278,10.00
1389746149,75277,5.00
1389745107,75276,75.00
1389743873,75275,5.00
1389737238,75273,25.00
1389737146,75272,5.00
1389734135,75271,25.00
1389730229,75269,5.00
1389722139,75267,10.00
1389721630,75266,20.00
1389716592,75265,5.00
1389716490,75264,5.00
1389715517,75263,50.00
1389714047,75262,1.50
1389711148,75261,20.00
1389710451,75260,30.00
1389709155,75259,30.00
1389708818,75258,10.00
1389704879,75256,20.00
1389704737,75255,2.15
1389704379,75254,5.00
1389704357,75253,10.00
1389704164,75252,15.00
1389704146,75251,5.00
1389704083,75250,30.00
1389704081,75249,15.00
1389701602,75247,5.00
1389699380,75246,50.00
1389699177,75245,25.00
1389695267,75243,10.00
1389695262,75242,5.00
1389695203,75241,50.00
1389692747,75237,1.00
1389692371,75235,20.00
1389692098,75234,5.00
1389691872,75233,50.00
1389691509,75232,2.00
1389691316,75231,20.00
1389688877,75228,5.00
1389688573,75227,5.00
1389686370,75224,10.00
1389686271,75223,5.00
1389686221,75222,1.00
1389686205,75221,1.00
1389685932,75218,5.00
1389685863,75216,10.00
1389685812,75215,5.00
1389685760,75214,1.00
1389683939,75213,10.00
1389683087,75211,4.00
1389680431,75208,1.00
1389679980,75205,5.00
1389679396,75204,1.00
1389678793,75203,20.00
1389678104,75202,10.00
1389677809,75200,5.00
1389677657,75199,10.00
1389677576,75198,30.00
1389677425,75197,5.00
1389677407,75196,1.00
1389677374,75195,5.00
1389677224,75194,10.00
1389677058,75193,1.00
1389677041,75192,3.00
1389676678,75191,5.00
1389676636,75190,5.00
1389676610,75189,10.00
1389676474,75188,10.00
1389676459,75187,3.00
1389676412,75185,100.00
1389676378,75184,5.00
1389676347,75183,1.00
1389676266,75178,1.00
1389676193,75176,10.00
1389676189,75175,6.66
1389676125,75174,5.00
1389676118,75173,3.14
1389676021,75171,15.00
1389676018,75170,5.55
1389676007,75169,20.00
